term,coefficient,active
1,0.0,false
V,0.0,false
Bs,-7.593557848239248,true
n,0.33993339695405084,true
Pdyn,0.6481423706145205,true
Dst_star,-0.125195704694083,true
V^2,5.9541494747638645e-6,true
Bs^2,0.015419581981658877,true
n^2,0.03243569299866978,true
V*Bs,0.007123443470869959,true
n*V,-0.002194747272536866,true
n*Bs,0.1410080659485129,true
Pdyn*Bs,-1.1952880069126892,true
n*V*Bs,0.0009415430587150986,true
sin(θ_c/2),2.624166140841488,true
sin²(θ_c/2),-19.874019152123136,true
sin⁴(θ_c/2),-8.372225743072832,true
sin^(8/3)(θ_c/2),22.070593573424052,true
V*sin²(θ_c/2),0.007118122560008217,true
Newell_d_Φ,2.5239404292052022e-5,true
