term,coefficient
1,0.0
V,0.0
Bs,-0.7311252640766392
n,0.0
Pdyn,-0.896469523144789
Dst_star,-0.05254736645358795
V^2,0.0
Bs^2,0.0
n^2,0.0
V*Bs,0.0
n*V,0.0005443391551555351
n*Bs,0.058657050490999035
Pdyn*Bs,0.08762670100061405
n*V*Bs,-0.00023440681152932838
sin(θ_c/2),6.928450443175584
sin²(θ_c/2),-38.7203669622234
sin⁴(θ_c/2),-9.306535662532706
sin^(8/3)(θ_c/2),42.01021693483194
V*sin²(θ_c/2),0.0
Newell_d_Φ,0.0
