library,rmse,n_active_terms,prediction_efficiency
Full (21),0.7955311335523035,21,0.9878247578083752
No trig (15),0.7989456800522798,15,0.9877200173458619
No cross (14),0.807781886671356,15,0.9874468861192063
Minimal (3),0.8792196895091278,3,0.9851283875894581
