lambda,n_terms,mean_validation_rmse_nt,standard_error_nt,eligible,selected
0.010000000000000002,20,13.948837705555508,0.8019068056760503,true,false
0.012638482029342977,20,13.948837705555508,0.8019068056760503,true,false
0.01597312280060254,20,13.948837705555508,0.8019068056760503,true,false
0.02018760254679039,20,13.948837705555508,0.8019068056760503,true,false
0.025514065200312887,20,13.948837705555508,0.8019068056760503,true,false
0.03224590545296395,20,13.948837705555508,0.8019068056760503,true,false
0.040753929658717755,20,13.948837705555508,0.8019068056760503,true,false
0.05150678076168125,20,13.948837705555508,0.8019068056760503,true,false
0.0650967523045817,20,13.948837705555508,0.8019068056760503,true,false
0.0822724134170047,20,13.948837705555508,0.8019068056760503,true,false
0.103979841848149,20,13.948837705555508,0.8019068056760503,true,false
0.13141473626117564,20,13.948837705555508,0.8019068056760503,true,false
0.16608827826277153,20,13.948837705555508,0.8019068056760503,true,false
0.20991037201085547,20,13.948837705555508,0.8019068056760503,true,false
0.26529484644318957,20,13.948837705555508,0.8019068056760503,true,false
0.3352924149249557,20,13.948837705555508,0.8019068056760503,true,false
0.4237587160604062,20,13.948837705555508,0.8019068056760503,true,false
0.5355666917706898,20,13.948837705555508,0.8019068056760503,true,false
0.6768750009458534,20,13.948837705555508,0.8019068056760503,true,false
0.855467253556568,20,13.948837705555508,0.8019068056760503,true,false
1.081180751076608,20,13.948837705555508,0.8019068056760503,true,false
1.3664483492953254,20,13.948837705555508,0.8019068056760503,true,false
1.7269832906594351,20,13.948837705555508,0.8019068056760503,true,false
2.182644728397487,20,13.948837705555508,0.8019068056760503,true,false
2.758531617629183,20,13.948837705555508,0.8019068056760503,true,false
3.486365227678085,20,13.948837705555508,0.8019068056760503,true,false
4.406236427773572,20,13.948837705555508,0.8019068056760503,true,false
5.56881399094527,20,13.948837705555508,0.8019068056760503,true,false
7.0381355549315545,20,13.948837705555508,0.8019068056760503,true,false
8.895134973108235,20,13.948837705555508,0.8019068056760503,true,false
11.242100350620868,20,13.948837705555508,0.8019068056760503,true,false
14.208308325339223,20,13.948837705555508,0.8019068056760503,true,false
17.9571449437164,19,13.949525247620352,0.7993720975352087,true,false
22.695105366946684,18,13.949537545555467,0.7983875010342932,true,false
28.683168133420104,18,13.949537545555467,0.7983875010342932,true,false
36.25117049988533,18,13.949537545555467,0.7983875010342932,true,false
45.81597669054491,18,13.949537545555467,0.7983875010342932,true,false
57.90443980602486,18,13.949537545555467,0.7983875010342932,true,false
73.18242219076174,18,13.949537545555467,0.7983875010342932,true,false
92.49147277217335,17,13.972106922626814,0.7979202691873732,true,false
116.89518164985776,14,13.883971638301126,0.7329312272333515,true,false
147.73776525985113,12,13.789967510677553,0.7599800165710312,true,false
186.71810912919207,12,13.789967510677553,0.7599800165710312,true,true
235.98334667821936,11,15.66466063435405,0.8355992896018829,false,false
298.2471286216891,10,15.601005674890645,0.8170106107301756,false,false
376.93909753883594,5,34.9521844427298,2.7069951190753185,false,false
476.39380104013406,4,33.75747999410643,1.7800579576825903,false,false
602.0894493336132,2,32.16040113950586,1.6710902764138815,false,false
760.9496685459876,2,32.16040113950586,1.6710902764138815,false,false
961.7248711152964,2,32.16040113950586,1.6710902764138815,false,false
1215.4742500762873,2,32.16040113950586,1.6710902764138815,false,false
1536.1749466718281,2,32.16040113950586,1.6710902764138815,false,false
1941.4919457438816,0,35.18731333022916,1.8493441683960543,false,false
2453.751106639817,0,35.18731333022916,1.8493441683960543,false,false
3101.1689265747787,0,35.18731333022916,1.8493441683960543,false,false
3919.406774847221,0,35.18731333022916,1.8493441683960543,false,false
4953.53520895917,0,35.18731333022916,1.8493441683960543,false,false
6260.516572014822,0,35.18731333022916,1.8493441683960543,false,false
7912.342618981319,0,35.18731333022916,1.8493441683960543,false,false
10000.0,0,35.18731333022916,1.8493441683960543,false,false
