lambda,n_terms,rmse
0.001,20,0.9462788338658773
0.0011768119524349979,20,0.9462788338658773
0.0013848863713938732,20,0.9462788338658773
0.0016297508346206436,20,0.9462788338658773
0.0019179102616724887,20,0.9462788338658773
0.002257019719633919,20,0.9462788338658773
0.0026560877829466868,20,0.9462788338658773
0.0031257158496882354,20,0.9462788338658773
0.0036783797718286343,20,0.9462788338658773
0.004328761281083057,20,0.9462788338658773
0.0050941380148163806,20,0.9462788338658773
0.005994842503189409,20,0.9462788338658773
0.007054802310718645,20,0.9462788338658773
0.008302175681319744,20,0.9462788338658773
0.009770099572992257,20,0.9462788338658773
0.011497569953977356,20,0.9462788338658773
0.013530477745798068,20,0.9462788338658773
0.015922827933410922,20,0.9462788338658773
0.01873817422860384,20,0.9462788338658773
0.022051307399030457,20,0.9462788338658773
0.02595024211399736,20,0.9462788338658773
0.030538555088334154,20,0.9462788338658773
0.03593813663804628,20,0.9462788338658773
0.04229242874389499,20,0.9462788338658773
0.049770235643321115,20,0.9462788338658773
0.05857020818056667,20,0.9462788338658773
0.06892612104349699,20,0.9462788338658773
0.08111308307896872,20,0.9462788338658773
0.09545484566618342,20,0.9462788338658773
0.11233240329780274,20,0.9462788338658773
0.1321941148466029,20,0.9462788338658773
0.1555676143930472,20,0.9462788338658773
0.18307382802953684,20,0.9462788338658773
0.2154434690031884,20,0.9462788338658773
0.2535364493970112,20,0.9462788338658773
0.29836472402833386,20,0.9462788338658773
0.35111917342151316,20,0.9462788338658773
0.4132012400115337,20,0.9462788338658773
0.4862601580065353,20,0.9462788338658773
0.5722367659350217,20,0.9462788338658773
0.6734150657750821,20,0.9462788338658773
0.7924828983539173,20,0.9462788338658773
0.9326033468832199,20,0.9462788338658773
1.0974987654930561,20,0.9462788338658773
1.2915496650148839,20,0.9462788338658773
1.5199110829529336,20,0.9462788338658773
1.788649529057435,20,0.9462788338658773
2.1049041445120205,20,0.9462788338658773
2.4770763559917106,20,0.9462788338658773
2.9150530628251765,20,0.9462788338658773
3.4304692863149184,20,0.9462788338658773
4.0370172585965545,20,0.9462788338658773
4.7508101621027965,20,0.9462788338658773
5.590810182512224,18,0.9462797492016158
6.579332246575681,17,0.9462943039987918
7.742636826811269,17,0.9462943039987918
9.111627561154892,17,0.9462943039987918
10.722672220103231,17,0.9462943039987918
12.618568830660204,17,0.9462943039987918
14.84968262254465,17,0.9462943039987918
17.47528400007684,17,0.9462943039987918
20.565123083486515,16,0.947793155970228
24.20128264794382,14,0.9496325917419279
28.48035868435802,14,0.9496325917419279
33.516026509388425,14,0.9496325917419279
39.442060594376564,13,0.9505678918756768
46.4158883361278,5,0.9538844696850499
54.62277217684343,5,0.9538844696850499
64.28073117284322,5,0.9538844696850499
75.64633275546291,5,0.9538844696850499
89.02150854450383,5,0.9538844696850499
104.76157527896652,5,0.9538844696850499
123.28467394420659,5,0.9538844696850499
145.082877849594,5,0.9538844696850499
170.73526474706904,5,0.9539380499893869
200.9233002565048,5,0.9539380499893869
236.4489412645407,5,0.9539380499893869
278.2559402207126,5,0.9539380499893869
327.45491628777285,2,6.217799624508824
385.3528593710531,2,6.217799624508824
453.4878508128582,2,6.217799624508824
533.6699231206308,2,6.217799624508824
628.0291441834253,2,6.217799624508824
739.0722033525775,0,8.487036329290556
869.7490026177834,0,8.487036329290556
1023.5310218990259,0,8.487036329290556
1204.5035402587823,0,8.487036329290556
1417.4741629268049,0,8.487036329290556
1668.100537200059,0,8.487036329290556
1963.0406500402705,0,8.487036329290556
2310.1297000831605,0,8.487036329290556
2718.58824273294,0,8.487036329290556
3199.2671377973843,0,8.487036329290556
3764.9358067924672,0,8.487036329290556
4430.621457583882,0,8.487036329290556
5214.008287999684,0,8.487036329290556
6135.907273413176,0,8.487036329290556
7220.809018385464,0,8.487036329290556
8497.534359086447,0,8.487036329290556
10000.0,0,8.487036329290556
