1,V,Bs,n,Pdyn,Dst_star,V^2,Bs^2,n^2,V*Bs,n*V,n*Bs,Pdyn*Bs,n*V*Bs,sin(θ_c/2),sin²(θ_c/2),sin⁴(θ_c/2),sin^(8/3)(θ_c/2),V*sin²(θ_c/2),Newell_d_Φ
0.0,0.0,-0.7402684520312837,0.0,-0.9619082783671139,-0.05261297795529539,0.0,0.0,0.0,0.0,0.0005947327579618417,0.0487238735971174,0.07989439847911868,-0.00020479658461176705,6.805753055568958,-37.94164775652627,-8.92118031348214,41.007818749816,0.0,0.0
0.0,0.0,-0.7464050658193403,0.0,-0.9115232225852872,-0.051825062790760726,0.0,0.0,0.0,0.0,0.0005464700904934201,0.041340278877430345,0.06221743576337975,-0.00017183080503040035,7.0860509358731285,-38.607105462528864,-9.188440482081536,41.67584132290035,0.0,0.0
0.0,0.0,-0.7327252477940461,-0.1253276334615854,-1.1917650929835615,-0.05211426857548016,0.0,0.0,0.0,0.0,0.0010587999831277858,0.07451965163343556,0.11469715974119235,-0.00029290345671717944,6.8171734272049465,-38.13885199563199,-9.111234894296711,41.38975431326171,0.0,0.0
0.0,0.0,-0.6968693190498526,0.0,-0.8897130936601604,-0.05178666008832801,0.0,0.0,0.0,0.0,0.0005372277402215816,0.060351755742141806,0.09770358502702987,-0.0002481602807838107,6.880400434270629,-37.87546998721668,-9.151847069768012,40.96182743625598,0.0,0.0
0.0,0.0,-0.7165702749386206,-0.12949183217523857,-1.2175928776142102,-0.05205045290441505,0.0,0.0,0.0,0.0,0.0010881070450012918,0.07277339323271143,0.1166657313145594,-0.00028902216210988443,6.705404543049182,-37.45313649025842,-8.954242136393704,40.578248620511005,0.0,0.0
0.0,0.0,-0.7286131246286588,0.0,-0.8864767222735458,-0.0513103290412732,0.0,0.0,0.0,0.0,0.0005311486278085548,0.05658473662066393,0.08707908185599504,-0.00022734588231509073,7.17197564670524,-38.933868530031205,-9.190184171553739,41.88126611652919,0.0,0.0
0.0,0.0,-0.7548545104732135,-0.1160958884286363,-1.197072450737412,-0.0530062306394372,0.0,0.0,0.0,0.0,0.0010438300264424508,0.06199563629835636,0.09964459516791968,-0.0002485062147300312,7.096785147569925,-40.01694128652622,-9.707295217807745,43.57375557271467,0.0,0.0
0.0,0.0,-0.7453618294491882,0.0,-0.8486550876588905,-0.05130479179852298,0.0,0.0,0.0,0.0,0.0005021484975815144,0.05714342541248741,0.08562353232673496,-0.00022608730345880613,7.709101710054849,-42.70892819154557,-10.605888761684415,46.6037581844241,0.0,0.0
0.0,0.0,-0.7270497771898957,0.0,-0.8899309290747263,-0.05216453091867946,0.0,0.0,0.0,0.0,0.0005473058137798592,0.06179439932990569,0.0951272004596231,-0.0002477089882632677,6.2557389010099955,-35.370402594480815,-8.424657503000189,38.43435576079387,0.0,0.0
0.0,0.0,-0.7434512809632075,0.0,-0.9123988111030894,-0.0527335243471805,0.0,0.0,0.0,0.0,0.0005550735169959247,0.047530800717486034,0.06638412730007488,-0.00019174304398083232,6.7800779719748565,-37.68486491331415,-8.731172112361685,40.596212799175994,0.0,0.0
