lambda,n_terms,rmse
0.010000000000000002,20,0.9422829833696947
0.011689518164985783,20,0.9422829833696947
0.013664483492953258,20,0.9422829833696947
0.01597312280060254,20,0.9422829833696947
0.018671810912919196,20,0.9422829833696947
0.021826447283974874,20,0.9422829833696947
0.025514065200312887,20,0.9422829833696947
0.02982471286216891,20,0.9422829833696947
0.03486365227678086,20,0.9422829833696947
0.040753929658717755,20,0.9422829833696947
0.047639380104013404,20,0.9422829833696947
0.0556881399094527,20,0.9422829833696947
0.0650967523045817,20,0.9422829833696947
0.0760949668545988,20,0.9422829833696947
0.08895134973108232,20,0.9422829833696947
0.103979841848149,20,0.9422829833696947
0.12154742500762865,20,0.9422829833696947
0.14208308325339222,20,0.9422829833696947
0.16608827826277153,20,0.9422829833696947
0.19414919457438812,20,0.9422829833696947
0.2269510536694669,20,0.9422829833696947
0.26529484644318957,20,0.9422829833696947
0.3101168926574778,20,0.9422829833696947
0.3625117049988533,20,0.9422829833696947
0.4237587160604062,20,0.9422829833696947
0.49535352089591705,20,0.9422829833696947
0.5790443980602487,20,0.9422829833696947
0.6768750009458534,20,0.9422829833696947
0.7912342618981322,20,0.9422829833696947
0.9249147277217333,20,0.9422829833696947
1.081180751076608,20,0.9422829833696947
1.263848202934298,20,0.9422829833696947
1.4773776525985112,20,0.9422829833696947
1.7269832906594351,20,0.9422829833696947
2.0187602546790386,20,0.9422829833696947
2.3598334667821943,20,0.9422829833696947
2.758531617629183,20,0.9422829833696947
3.2245905452963948,20,0.9422829833696947
3.7693909753883617,20,0.9422829833696947
4.406236427773572,20,0.9422829833696947
5.1506780761681235,20,0.9422829833696947
6.02089449333613,20,0.9422829833696947
7.0381355549315545,20,0.9422829833696947
8.22724134170047,20,0.9422829833696947
9.617248711152964,20,0.9422829833696947
11.242100350620868,20,0.9422829833696947
13.14147362611756,20,0.9422829833696947
15.36174946671828,20,0.9422829833696947
17.9571449437164,20,0.9422829833696947
20.991037201085547,20,0.9422829833696947
24.53751106639818,20,0.9422829833696947
28.683168133420104,19,0.9424640981116819
33.529241492495565,19,0.9424640981116819
39.19406774847219,16,0.9438175467526421
45.81597669054491,16,0.9438175467526421
53.55666917706899,14,0.9438472788831527
62.605165720148214,13,0.9443185815470784
73.18242219076174,13,0.9443185815470784
85.5467253556568,14,0.9443063932288948
100.0,14,0.9443063932288948
