split,storm_id,target,model,rmse_nt,mae_nt,correlation,pe,n_points,min_dst_star_observed_nt,anchor_catalog_idx,scored_catalog_indices,original_target_only
val,492,Dst_star,OBrien-McPherron,16.31179584137229,14.149856022274053,0.8138957858497293,-0.5055240807020323,65,-58.22428466890479,413084,413085;413086;413087;413088;413089;413090;413091;413092;413093;413094;413095;413096;413097;413098;413099;413100;413101;413102;413103;413104;413105;413106;413107;413108;413109;413110;413111;413112;413113;413114;413115;413116;413117;413118;413119;413120;413121;413122;413123;413124;413125;413126;413127;413128;413129;413130;413131;413132;413133;413134;413135;413136;413137;413138;413139;413140;413141;413142;413143;413144;413145;413146;413147;413148;413149,true
val,492,AE,Coupled-SINDy,177.30086329675325,146.11978558478364,0.47619470082352666,0.16163841436961024,65,-58.22428466890479,413084,413085;413086;413087;413088;413089;413090;413091;413092;413093;413094;413095;413096;413097;413098;413099;413100;413101;413102;413103;413104;413105;413106;413107;413108;413109;413110;413111;413112;413113;413114;413115;413116;413117;413118;413119;413120;413121;413122;413123;413124;413125;413126;413127;413128;413129;413130;413131;413132;413133;413134;413135;413136;413137;413138;413139;413140;413141;413142;413143;413144;413145;413146;413147;413148;413149,true
val,493,Dst_star,Coupled-SINDy,7.668875809080304,5.790382539661879,0.9149260207760103,0.8046656728045029,160,-74.35988134531914,414250,414251;414252;414253;414254;414255;414256;414257;414258;414259;414260;414261;414262;414263;414264;414265;414266;414267;414268;414269;414270;414271;414272;414273;414274;414275;414276;414277;414278;414279;414280;414281;414282;414283;414284;414285;414286;414287;414288;414289;414290;414291;414292;414293;414294;414295;414296;414297;414298;414299;414300;414301;414302;414303;414304;414305;414306;414307;414308;414309;414310;414311;414312;414313;414314;414315;414316;414317;414318;414319;414320;414321;414322;414323;414324;414325;414326;414327;414328;414329;414330;414331;414332;414333;414334;414335;414336;414337;414338;414339;414340;414341;414342;414343;414344;414345;414346;414347;414348;414349;414350;414351;414352;414353;414354;414355;414356;414357;414358;414359;414360;414361;414362;414363;414364;414365;414366;414367;414368;414369;414370;414371;414372;414373;414374;414375;414376;414377;414378;414379;414380;414381;414382;414383;414384;414385;414386;414387;414388;414389;414390;414391;414392;414393;414394;414395;414396;414397;414398;414399;414400;414401;414402;414403;414404;414405;414406;414407;414408;414409;414410,true
val,493,Dst_star,Single-SINDy,8.704443894356421,7.408058692419801,0.928349174708189,0.748349833511702,160,-74.35988134531914,414250,414251;414252;414253;414254;414255;414256;414257;414258;414259;414260;414261;414262;414263;414264;414265;414266;414267;414268;414269;414270;414271;414272;414273;414274;414275;414276;414277;414278;414279;414280;414281;414282;414283;414284;414285;414286;414287;414288;414289;414290;414291;414292;414293;414294;414295;414296;414297;414298;414299;414300;414301;414302;414303;414304;414305;414306;414307;414308;414309;414310;414311;414312;414313;414314;414315;414316;414317;414318;414319;414320;414321;414322;414323;414324;414325;414326;414327;414328;414329;414330;414331;414332;414333;414334;414335;414336;414337;414338;414339;414340;414341;414342;414343;414344;414345;414346;414347;414348;414349;414350;414351;414352;414353;414354;414355;414356;414357;414358;414359;414360;414361;414362;414363;414364;414365;414366;414367;414368;414369;414370;414371;414372;414373;414374;414375;414376;414377;414378;414379;414380;414381;414382;414383;414384;414385;414386;414387;414388;414389;414390;414391;414392;414393;414394;414395;414396;414397;414398;414399;414400;414401;414402;414403;414404;414405;414406;414407;414408;414409;414410,true
val,493,Dst_star,Burton,23.67772612799151,16.99532617379107,0.8430245265558133,-0.8620663300359885,160,-74.35988134531914,414250,414251;414252;414253;414254;414255;414256;414257;414258;414259;414260;414261;414262;414263;414264;414265;414266;414267;414268;414269;414270;414271;414272;414273;414274;414275;414276;414277;414278;414279;414280;414281;414282;414283;414284;414285;414286;414287;414288;414289;414290;414291;414292;414293;414294;414295;414296;414297;414298;414299;414300;414301;414302;414303;414304;414305;414306;414307;414308;414309;414310;414311;414312;414313;414314;414315;414316;414317;414318;414319;414320;414321;414322;414323;414324;414325;414326;414327;414328;414329;414330;414331;414332;414333;414334;414335;414336;414337;414338;414339;414340;414341;414342;414343;414344;414345;414346;414347;414348;414349;414350;414351;414352;414353;414354;414355;414356;414357;414358;414359;414360;414361;414362;414363;414364;414365;414366;414367;414368;414369;414370;414371;414372;414373;414374;414375;414376;414377;414378;414379;414380;414381;414382;414383;414384;414385;414386;414387;414388;414389;414390;414391;414392;414393;414394;414395;414396;414397;414398;414399;414400;414401;414402;414403;414404;414405;414406;414407;414408;414409;414410,true
val,493,Dst_star,BurtonFull,20.361864286368686,17.567397230476693,0.8384469956034116,-0.37705167689730934,160,-74.35988134531914,414250,414251;414252;414253;414254;414255;414256;414257;414258;414259;414260;414261;414262;414263;414264;414265;414266;414267;414268;414269;414270;414271;414272;414273;414274;414275;414276;414277;414278;414279;414280;414281;414282;414283;414284;414285;414286;414287;414288;414289;414290;414291;414292;414293;414294;414295;414296;414297;414298;414299;414300;414301;414302;414303;414304;414305;414306;414307;414308;414309;414310;414311;414312;414313;414314;414315;414316;414317;414318;414319;414320;414321;414322;414323;414324;414325;414326;414327;414328;414329;414330;414331;414332;414333;414334;414335;414336;414337;414338;414339;414340;414341;414342;414343;414344;414345;414346;414347;414348;414349;414350;414351;414352;414353;414354;414355;414356;414357;414358;414359;414360;414361;414362;414363;414364;414365;414366;414367;414368;414369;414370;414371;414372;414373;414374;414375;414376;414377;414378;414379;414380;414381;414382;414383;414384;414385;414386;414387;414388;414389;414390;414391;414392;414393;414394;414395;414396;414397;414398;414399;414400;414401;414402;414403;414404;414405;414406;414407;414408;414409;414410,true
val,493,Dst_star,OBrien-McPherron,14.353806775432664,11.72283937450072,0.8766574911498076,0.31569556809904287,160,-74.35988134531914,414250,414251;414252;414253;414254;414255;414256;414257;414258;414259;414260;414261;414262;414263;414264;414265;414266;414267;414268;414269;414270;414271;414272;414273;414274;414275;414276;414277;414278;414279;414280;414281;414282;414283;414284;414285;414286;414287;414288;414289;414290;414291;414292;414293;414294;414295;414296;414297;414298;414299;414300;414301;414302;414303;414304;414305;414306;414307;414308;414309;414310;414311;414312;414313;414314;414315;414316;414317;414318;414319;414320;414321;414322;414323;414324;414325;414326;414327;414328;414329;414330;414331;414332;414333;414334;414335;414336;414337;414338;414339;414340;414341;414342;414343;414344;414345;414346;414347;414348;414349;414350;414351;414352;414353;414354;414355;414356;414357;414358;414359;414360;414361;414362;414363;414364;414365;414366;414367;414368;414369;414370;414371;414372;414373;414374;414375;414376;414377;414378;414379;414380;414381;414382;414383;414384;414385;414386;414387;414388;414389;414390;414391;414392;414393;414394;414395;414396;414397;414398;414399;414400;414401;414402;414403;414404;414405;414406;414407;414408;414409;414410,true
val,493,AE,Coupled-SINDy,241.5336006910529,193.25280733671835,0.7476226239163979,0.48344884492052476,160,-74.35988134531914,414250,414251;414252;414253;414254;414255;414256;414257;414258;414259;414260;414261;414262;414263;414264;414265;414266;414267;414268;414269;414270;414271;414272;414273;414274;414275;414276;414277;414278;414279;414280;414281;414282;414283;414284;414285;414286;414287;414288;414289;414290;414291;414292;414293;414294;414295;414296;414297;414298;414299;414300;414301;414302;414303;414304;414305;414306;414307;414308;414309;414310;414311;414312;414313;414314;414315;414316;414317;414318;414319;414320;414321;414322;414323;414324;414325;414326;414327;414328;414329;414330;414331;414332;414333;414334;414335;414336;414337;414338;414339;414340;414341;414342;414343;414344;414345;414346;414347;414348;414349;414350;414351;414352;414353;414354;414355;414356;414357;414358;414359;414360;414361;414362;414363;414364;414365;414366;414367;414368;414369;414370;414371;414372;414373;414374;414375;414376;414377;414378;414379;414380;414381;414382;414383;414384;414385;414386;414387;414388;414389;414390;414391;414392;414393;414394;414395;414396;414397;414398;414399;414400;414401;414402;414403;414404;414405;414406;414407;414408;414409;414410,true
val,494,Dst_star,Coupled-SINDy,10.811091194857863,6.752903603118,0.9242564460560022,0.7559544977028616,110,-75.4267089919596,414901,414902;414903;414904;414905;414906;414907;414908;414909;414910;414911;414912;414913;414914;414915;414916;414917;414918;414919;414920;414921;414922;414923;414924;414925;414926;414927;414928;414929;414930;414931;414932;414933;414934;414935;414936;414937;414938;414939;414940;414941;414942;414943;414944;414945;414946;414947;414948;414949;414950;414951;414952;414953;414954;414955;414956;414957;414958;414959;414960;414961;414962;414963;414964;414965;414966;414967;414968;414969;414970;414971;414972;414973;414974;414975;414976;414977;414978;414979;414980;414981;414982;414983;414984;414985;414986;414987;414988;414989;414990;414991;414992;414993;414994;414995;414996;414997;414998;414999;415000;415001;415002;415003;415004;415005;415006;415007;415008;415009;415010;415011,true
val,494,Dst_star,Single-SINDy,10.354911861926992,6.953659340515579,0.9289631730835098,0.7761152255425467,110,-75.4267089919596,414901,414902;414903;414904;414905;414906;414907;414908;414909;414910;414911;414912;414913;414914;414915;414916;414917;414918;414919;414920;414921;414922;414923;414924;414925;414926;414927;414928;414929;414930;414931;414932;414933;414934;414935;414936;414937;414938;414939;414940;414941;414942;414943;414944;414945;414946;414947;414948;414949;414950;414951;414952;414953;414954;414955;414956;414957;414958;414959;414960;414961;414962;414963;414964;414965;414966;414967;414968;414969;414970;414971;414972;414973;414974;414975;414976;414977;414978;414979;414980;414981;414982;414983;414984;414985;414986;414987;414988;414989;414990;414991;414992;414993;414994;414995;414996;414997;414998;414999;415000;415001;415002;415003;415004;415005;415006;415007;415008;415009;415010;415011,true
