noise_level,sindy_rmse,burton_rmse,n_active_terms,core_terms_recovered
0.01,0.22771334693585973,0.5720986749520075,19,true
0.02,0.3911456371129918,0.65319029349301,19,true
0.05,0.9231144499476306,1.0631162221102721,20,true
0.1,1.8250421342466296,1.9116490672715694,20,true
0.15,2.7253100685896485,2.8050087016846366,20,true
0.2,3.6203956936342667,3.7109609378290185,20,true
