term,Quiet,Main,Recovery
1,92.52507938624306,3.8657201153469803e6,1803.8388197693132
V,-0.41513964690198907,-71.7771087008497,-6.251003698918359
Bs,-50.68300522458373,770.7704072453664,2927.6584350846047
n,-18.288424838174283,-1848.4511386370702,-136.65725044174462
Pdyn,-51.89177504676006,-3602.3744748763766,-245.15575065573674
Dst_star,-0.018918599889273652,-0.114826695047456,-0.1080933853502716
V^2,0.0004580567731159901,0.06926373140763556,0.005436006624006348
Bs^2,-2.1125407750846907,-1.0388130882435285,0.02174101840365387
n^2,-0.004599760586838488,0.06575103442201825,0.262795686635169
V*Bs,0.11308322304888097,-1.1175733819265044,-4.8842087873910245
n*V,0.0805587080926524,6.695248080635872,0.46929730920327245
n*Bs,8.24397393866221,127.30738491514259,-5.077391398925103e6
Pdyn*Bs,13.815526401244092,289.9042448774842,-8.434283581314858e6
n*V*Bs,-0.028283547572969442,-0.5032545991138538,16926.62854553765
sin(θ_c/2),0.31478172316868486,-1.6860193116159488e7,-13.038750487927556
sin²(θ_c/2),7.821835210447768,3.2473054558110338e7,76.24690516783575
sin⁴(θ_c/2),8.75428486856907,2.855720869753291e6,14.222513881034098
sin^(8/3)(θ_c/2),-21.40637909991202,-2.231537390753977e7,-60.804850207871155
V*sin²(θ_c/2),0.005450964053989512,-0.8231904962461822,-0.029013629520356566
Newell_d_Φ,0.0002801254656655587,-0.05223994628234046,-0.0001162773890924016
