storm_id,catalog_row,datetime,time_hr,dst_observed_nt,dst_star_observed_nt,dst_cleaned_nt,dst_star_cleaned_nt,dst_original_flag,dst_star_original_target_flag,dst_star_sindy_nt,dst_star_burton_simplified_nt,dst_star_burton_published_nt,dst_star_obrien_nt,dst_sindy_nt,dst_burton_simplified_nt,dst_burton_published_nt,dst_obrien_nt,v_kms,bz_nt,pdyn_npa
684,537836,2024-05-09T19:00:00.0,0.0,22.0,22.144809313572146,22.0,22.144809313572146,true,true,22.144809313572146,22.144809313572146,22.144809313572146,22.144809313572146,22.0,22.0,22.0,22.0,425.0,-0.8,2.2356389750000005
684,537837,2024-05-09T20:00:00.0,1.0,21.0,20.933955323755775,21.0,20.933955323755775,true,true,20.07250001043858,17.43286005206927,19.26886005206927,20.814046024157108,20.138544686682806,17.498904728313494,19.334904728313496,20.880090700401333,422.0,1.1,2.32333372752
684,537838,2024-05-09T21:00:00.0,2.0,20.0,20.421352351968288,20.0,20.421352351968288,true,true,18.51186714932436,15.168852253099235,16.76641069465768,19.72706924103552,18.09051479735607,14.747499901130947,16.34505834268939,19.30571688906723,417.0,0.5,2.12318121222
684,537839,2024-05-09T22:00:00.0,3.0,20.0,21.330043301584748,20.0,21.330043301584748,true,true,17.119761239887588,13.198871441008425,14.588954760286551,18.696857900138575,15.78971793830284,11.868828139423677,13.258911458701803,17.366814598553827,424.0,1.5,1.7740906918400001
684,537840,2024-05-09T23:00:00.0,4.0,17.0,18.817729834698802,17.0,18.817729834698802,true,true,15.760676909027472,11.484732292825512,12.694285310898687,17.720447526529004,13.942947074328671,9.66700245812671,10.876555476199886,15.902717691830205,417.0,-1.0,1.5996570777
684,537841,2024-05-10T00:00:00.0,5.0,12.0,14.05431907746412,12.0,14.05431907746412,true,true,13.962964316346827,7.7414086184325885,11.045676828963792,16.624012262990274,11.908645238882706,5.6870895409684685,8.99135775149967,14.569693185526155,410.0,-3.0,1.518285924
684,537842,2024-05-10T01:00:00.0,6.0,10.0,12.236106652782068,10.0,12.236106652782068,true,true,11.125245522106187,0.0940308757790067,5.66917334468278,12.031438876696257,8.889138869324121,-2.142075777003061,3.433066691900713,9.795332223914187,398.0,-3.7,1.4572059172
684,537843,2024-05-10T02:00:00.0,7.0,12.0,12.748354858882893,12.0,12.748354858882893,true,true,8.369514187748436,-7.870220926270215,-0.31912293384745194,6.675943158014013,7.621159328865545,-8.618575785153109,-1.0674777927303438,5.92758829913112,425.0,0.1,1.993948275
684,537844,2024-05-10T03:00:00.0,8.0,21.0,18.917348518918196,21.0,18.917348518918196,true,true,7.535310698093994,-6.848114312468889,-0.2776783969841465,6.327303820435027,9.617962179175798,-4.765462831387083,1.804973084097659,8.409955301516831,430.0,-0.9,3.24726927
684,537845,2024-05-10T04:00:00.0,9.0,16.0,12.949006374218978,16.0,12.949006374218978,true,true,6.427663543819075,-8.04854881734306,-0.2416162675056859,5.940195338303378,9.478657169600098,-4.9975551915620375,2.809377358275336,8.991188964084401,432.0,-3.4,3.7457676288000004
684,537846,2024-05-10T05:00:00.0,10.0,7.0,4.4281095871875245,7.0,4.4281095871875245,true,true,3.21818200028237,-14.934802737168637,-5.441757531465986,1.1244225868508817,5.790072413094844,-12.362912324356161,-2.8698671186535094,3.6963129996633572,430.0,-0.7,3.494680262
684,537847,2024-05-10T06:00:00.0,11.0,9.0,8.113161215834944,9.0,8.113161215834944,true,true,2.697748217032518,-14.620617966107774,-4.735035774132741,1.0578666022960934,3.5845870011975727,-13.733779181942719,-3.8481969899676853,1.9447053864611483,422.0,-1.0,2.6807696856
684,537848,2024-05-10T07:00:00.0,12.0,16.0,15.088472113277632,16.0,15.088472113277632,true,true,2.1580616345068,-15.000636412067804,-4.120096063206411,0.9922899338629811,3.069589521229169,-14.089108525345436,-3.208568176484043,1.903817820585349,416.0,-1.2,2.6919172300800005
684,537849,2024-05-10T08:00:00.0,13.0,13.0,12.721811581956514,13.0,12.721811581956514,true,true,1.3641315878767268,-15.74818181309796,-3.5850186524003838,0.8885298060685018,1.6423200059202134,-15.469993395054473,-3.306830234356898,1.1667182241119889,412.0,0.1,2.4132674224
