phase,term,point_coefficient,inclusion_fraction,conditional_nonzero_median,conditional_nonzero_quantile_025,conditional_nonzero_quantile_975,interval_kind,selected_lambda,draws,subsample_fraction,seed,n_phase_rows,quiet_thresh,deriv_thresh
main,Pdyn,-0.35539603082017446,0.942,-0.371371647538754,-0.9980939616369086,-0.2521712450045561,empirical_conditional_nonzero_row_subsample_quantile_not_confidence_interval,57.90443980602486,500,0.8,43,6361,-20.0,-2.0
main,Dst_star,-0.023084004519168446,1.0,-0.023008694013035035,-0.026881146149866093,-0.019607037538924975,empirical_conditional_nonzero_row_subsample_quantile_not_confidence_interval,57.90443980602486,500,0.8,43,6361,-20.0,-2.0
main,V^2,-1.0024359743697345e-5,0.894,-1.0034843835014085e-5,-1.5000545304115997e-5,-3.725267982860732e-6,empirical_conditional_nonzero_row_subsample_quantile_not_confidence_interval,57.90443980602486,500,0.8,43,6361,-20.0,-2.0
main,Bs^2,-0.013639151368906628,1.0,-0.013703007778082765,-0.016593534085634576,-0.010574177229821066,empirical_conditional_nonzero_row_subsample_quantile_not_confidence_interval,57.90443980602486,500,0.8,43,6361,-20.0,-2.0
main,n^2,0.0,0.158,0.002482038009119541,0.0022783194282505214,0.003076628547296809,empirical_conditional_nonzero_row_subsample_quantile_not_confidence_interval,57.90443980602486,500,0.8,43,6361,-20.0,-2.0
main,V*Bs,0.0007165616395600302,0.97,0.0007042003408289188,0.0003393587171304047,0.0011251597116606563,empirical_conditional_nonzero_row_subsample_quantile_not_confidence_interval,57.90443980602486,500,0.8,43,6361,-20.0,-2.0
main,n*V,0.0,0.448,0.0004043355129192849,-0.0008444286445303691,0.0013620289437418498,empirical_conditional_nonzero_row_subsample_quantile_not_confidence_interval,57.90443980602486,500,0.8,43,6361,-20.0,-2.0
main,n*Bs,0.0630561653281246,1.0,0.062127279491589804,0.03701616510909487,0.08182998260958645,empirical_conditional_nonzero_row_subsample_quantile_not_confidence_interval,57.90443980602486,500,0.8,43,6361,-20.0,-2.0
main,Pdyn*Bs,0.09907315140891332,0.998,0.0994875492218329,0.056308129769286425,0.13581666874617462,empirical_conditional_nonzero_row_subsample_quantile_not_confidence_interval,57.90443980602486,500,0.8,43,6361,-20.0,-2.0
main,n*V*Bs,-0.00023231043509776937,1.0,-0.0002319179727525429,-0.00030343686764738127,-0.00014232203194829585,empirical_conditional_nonzero_row_subsample_quantile_not_confidence_interval,57.90443980602486,500,0.8,43,6361,-20.0,-2.0
main,sin(θ_c/2),-1.377745038567517,0.742,-2.9097682995942646,-14.777810107674382,8.747999741377134,empirical_conditional_nonzero_row_subsample_quantile_not_confidence_interval,57.90443980602486,500,0.8,43,6361,-20.0,-2.0
main,sin²(θ_c/2),-21.909328300243157,0.946,-23.583732282884295,-63.90505572000983,32.612635338202104,empirical_conditional_nonzero_row_subsample_quantile_not_confidence_interval,57.90443980602486,500,0.8,43,6361,-20.0,-2.0
main,sin⁴(θ_c/2),-15.496597934842717,0.982,-15.692785886763541,-27.039901264579008,-4.390510305118846,empirical_conditional_nonzero_row_subsample_quantile_not_confidence_interval,57.90443980602486,500,0.8,43,6361,-20.0,-2.0
main,sin^(8/3)(θ_c/2),38.75916052369951,0.984,39.63175383146426,-19.35072362190253,83.22903221422479,empirical_conditional_nonzero_row_subsample_quantile_not_confidence_interval,57.90443980602486,500,0.8,43,6361,-20.0,-2.0
main,V*sin²(θ_c/2),0.00528200199297352,0.882,0.005288941602496727,0.002474866182275991,0.00985878819054087,empirical_conditional_nonzero_row_subsample_quantile_not_confidence_interval,57.90443980602486,500,0.8,43,6361,-20.0,-2.0
main,Newell_d_Φ,-0.00027450288026797536,1.0,-0.0002766246286359893,-0.00034845530797370373,-0.00017569982884454077,empirical_conditional_nonzero_row_subsample_quantile_not_confidence_interval,57.90443980602486,500,0.8,43,6361,-20.0,-2.0
recovery,1,1.4547268123966735,0.992,1.4055816525607194,0.6258162759028678,1.9994627016063142,empirical_conditional_nonzero_row_subsample_quantile_not_confidence_interval,57.90443980602486,500,0.8,44,26728,-20.0,-2.0
recovery,V,-0.006686701179847004,1.0,-0.006168124997994486,-0.008118192589286252,-0.0034069807204132226,empirical_conditional_nonzero_row_subsample_quantile_not_confidence_interval,57.90443980602486,500,0.8,44,26728,-20.0,-2.0
recovery,Bs,-0.42652789430476895,1.0,-0.30163346468179597,-0.5682016232902163,-0.26099028215512865,empirical_conditional_nonzero_row_subsample_quantile_not_confidence_interval,57.90443980602486,500,0.8,44,26728,-20.0,-2.0
recovery,n,-0.10844329989422602,0.45,-0.12462355679424243,-0.1787865738544442,-0.07531807868783058,empirical_conditional_nonzero_row_subsample_quantile_not_confidence_interval,57.90443980602486,500,0.8,44,26728,-20.0,-2.0
recovery,Pdyn,-0.3851664804083345,0.736,-0.3920580614372309,-0.5698584391933575,-0.15081636101137144,empirical_conditional_nonzero_row_subsample_quantile_not_confidence_interval,57.90443980602486,500,0.8,44,26728,-20.0,-2.0
recovery,Dst_star,-0.05713710648682386,1.0,-0.05737298780179017,-0.058553813862671014,-0.05606661927609419,empirical_conditional_nonzero_row_subsample_quantile_not_confidence_interval,57.90443980602486,500,0.8,44,26728,-20.0,-2.0
recovery,V^2,4.31780870422554e-6,0.986,3.754127010867599e-6,1.8653093304342392e-6,5.755180193464149e-6,empirical_conditional_nonzero_row_subsample_quantile_not_confidence_interval,57.90443980602486,500,0.8,44,26728,-20.0,-2.0
recovery,Bs^2,0.0,0.0,NaN,NaN,NaN,empirical_conditional_nonzero_row_subsample_quantile_not_confidence_interval,57.90443980602486,500,0.8,44,26728,-20.0,-2.0
recovery,n^2,0.0,0.0,NaN,NaN,NaN,empirical_conditional_nonzero_row_subsample_quantile_not_confidence_interval,57.90443980602486,500,0.8,44,26728,-20.0,-2.0
recovery,V*Bs,0.0003996962172770813,0.486,0.00047654608179877235,0.0003351509795156221,0.0006747932472079347,empirical_conditional_nonzero_row_subsample_quantile_not_confidence_interval,57.90443980602486,500,0.8,44,26728,-20.0,-2.0
recovery,n*V,0.0006051129707023631,0.736,0.0005780374905868103,0.000172569853958921,0.0008715928171473548,empirical_conditional_nonzero_row_subsample_quantile_not_confidence_interval,57.90443980602486,500,0.8,44,26728,-20.0,-2.0
recovery,n*Bs,0.0,0.224,-0.025777337086994284,-0.037054743251654865,0.021617531758028104,empirical_conditional_nonzero_row_subsample_quantile_not_confidence_interval,57.90443980602486,500,0.8,44,26728,-20.0,-2.0
recovery,Pdyn*Bs,-0.0677234569255239,0.502,-0.09085761470868273,-0.18016798667114653,-0.06757338052718859,empirical_conditional_nonzero_row_subsample_quantile_not_confidence_interval,57.90443980602486,500,0.8,44,26728,-20.0,-2.0
recovery,n*V*Bs,3.840845055376791e-5,0.512,6.779580868867871e-5,3.846510728571089e-5,0.00021406237489264378,empirical_conditional_nonzero_row_subsample_quantile_not_confidence_interval,57.90443980602486,500,0.8,44,26728,-20.0,-2.0
recovery,sin(θ_c/2),1.4657398680986498,0.934,1.585835034162832,0.6981166055301178,2.753204575851824,empirical_conditional_nonzero_row_subsample_quantile_not_confidence_interval,57.90443980602486,500,0.8,44,26728,-20.0,-2.0
recovery,sin²(θ_c/2),-3.1496445065460517,0.874,-3.5569366041164803,-8.71939270668885,3.5864941300745468,empirical_conditional_nonzero_row_subsample_quantile_not_confidence_interval,57.90443980602486,500,0.8,44,26728,-20.0,-2.0
recovery,sin⁴(θ_c/2),1.4311359271910535,0.68,1.6911876843127973,0.8703519524528953,3.5943842978366805,empirical_conditional_nonzero_row_subsample_quantile_not_confidence_interval,57.90443980602486,500,0.8,44,26728,-20.0,-2.0
recovery,sin^(8/3)(θ_c/2),0.0,0.708,1.9707838942605704,-7.3773219228765,6.008205224354496,empirical_conditional_nonzero_row_subsample_quantile_not_confidence_interval,57.90443980602486,500,0.8,44,26728,-20.0,-2.0
recovery,V*sin²(θ_c/2),0.0,0.006,-0.001227868789959001,-0.0015721190139884455,-0.0012213455113908992,empirical_conditional_nonzero_row_subsample_quantile_not_confidence_interval,57.90443980602486,500,0.8,44,26728,-20.0,-2.0
recovery,Newell_d_Φ,0.0,0.0,NaN,NaN,NaN,empirical_conditional_nonzero_row_subsample_quantile_not_confidence_interval,57.90443980602486,500,0.8,44,26728,-20.0,-2.0
