1,V,Bs,n,Pdyn,Dst_star,V^2,Bs^2,n^2,V*Bs,n*V,n*Bs,Pdyn*Bs,n*V*Bs,n*V^2,sin(θ_c/2),sin²(θ_c/2),sin⁴(θ_c/2),sin^(8/3)(θ_c/2),V*sin²(θ_c/2),Newell_d_Φ
-0.1707179442928654,0.0006711547526822715,-0.7605333671819436,0.020083660955525225,0.0006335885031765096,-0.04893833231521012,-5.460663466846658e-7,0.0,0.0,0.0,0.0004863968735053062,0.0029803664113002126,-0.019069035270568694,-1.2979498349293458e-5,-1.5640136541329735e-6,8.383598558204989,-45.26506309944473,-11.017783767529277,49.07814763266865,0.0,1.7553028542514203e-6
-0.1707179442928654,0.0006711547526822715,-0.7731348699475067,0.020083660955525225,0.0006335885031765096,-0.048134808842082225,-5.460663466846658e-7,0.0,0.0,0.0,0.00046600140015459204,0.0029803664113002126,-0.019069035270568694,-1.2979498349293458e-5,-1.5228760302309136e-6,9.287271454930949,-50.454169194114655,-12.852448919755377,55.257127223484524,0.0,1.7553028542514203e-6
-0.1707179442928654,0.0006711547526822715,-0.5653995780191938,0.020083660955525225,0.0006335885031765096,-0.04657224189858981,-5.460663466846658e-7,0.0,0.0,0.0,0.0003701728954835098,0.04816533080847186,0.037322494513895826,-0.00019023547212595365,-1.1506366326119734e-6,6.305080045256117,-38.01155329005252,-10.41035911964256,42.71282041372048,0.0,1.7553028542514203e-6
1.2438577271438742,-0.004918954979334386,-0.5804846513863563,-0.1667060049670698,0.0006335885031765096,-0.04704380190001305,3.969348306001515e-6,0.0,0.0,0.0,0.0011194723212386497,0.051173674763653025,0.05169840076309576,-0.00020748491888475832,-1.8475432197009414e-6,8.35531603135709,-46.799925893288936,-12.785402710480156,52.02922747656768,0.0,1.7553028542514203e-6
-0.1707179442928654,0.0006711547526822715,-0.7628144986629529,0.020083660955525225,0.0006335885031765096,-0.04960201396605541,-5.460663466846658e-7,0.0,0.0,0.0,0.0004820264504247179,0.0029803664113002126,-0.019069035270568694,-1.2979498349293458e-5,-1.5456733966601416e-6,9.17973758597695,-51.4108166400848,-13.737666704650637,57.0784070914978,0.0,1.7553028542514203e-6
-0.1707179442928654,0.0006711547526822715,-0.5539253112539847,0.020083660955525225,0.0006335885031765096,-0.04735269849904071,-5.460663466846658e-7,0.0,0.0,0.0,0.00040749037384252014,0.053523677221901746,0.0516511734074654,-0.00021719251372711,-1.227877738921119e-6,6.09276076863306,-36.71262271076062,-9.783113602723343,40.98623737766324,0.0,1.7553028542514203e-6
-0.1707179442928654,0.0006711547526822715,-0.7802836193944317,0.020083660955525225,0.0006335885031765096,-0.04868721479238254,-5.460663466846658e-7,0.0,0.0,0.0,0.00046701141192409523,0.0029803664113002126,-0.019069035270568694,-1.2979498349293458e-5,-1.499045291492802e-6,8.940038390967121,-48.93942729732973,-12.123002433067992,53.37434718852203,0.0,1.7553028542514203e-6
-0.1707179442928654,0.0006711547526822715,0.1303500067038108,0.020083660955525225,0.0006335885031765096,-0.04534864526367622,-5.460663466846658e-7,0.0,0.0,0.0,0.0001459795120807093,0.0029803664113002126,-0.019069035270568694,-7.736046677116002e-5,-5.36390309870785e-7,2.305943041719898,-19.32713396422285,-11.981022196879264,29.1702777979706,0.0,-0.00026742222910774446
1.2862077789295896,-0.00465370183018209,-0.5498442806446805,-0.17463761771191336,0.0006335885031765096,-0.047446575864478334,3.7478385111879862e-6,0.0,0.0,0.0,0.0011331090385980043,0.053027111764119776,0.05017050711744174,-0.0002158770705824925,-1.8280525124172313e-6,5.756901472136224,-33.09695037742068,-7.953395992559537,35.95609396438678,0.0,1.7553028542514203e-6
-0.1707179442928654,0.0006711547526822715,-0.5424273974827846,0.020083660955525225,0.0006335885031765096,-0.04613537595252242,-5.460663466846658e-7,0.0,0.0,0.0,0.00039298601045048185,0.05191800715934876,0.05787078472096417,-0.00021899509622731576,-1.1701849581269591e-6,6.125190328492851,-37.73797382330368,-10.439976102824167,42.61722605560383,0.0,1.7553028542514203e-6
-0.1707179442928654,0.0006711547526822715,-0.753768094592144,0.020083660955525225,0.0006335885031765096,-0.047398386057636396,-5.460663466846658e-7,0.0,0.0,0.0,0.00044259089100507883,0.0029803664113002126,-0.019069035270568694,-1.2979498349293458e-5,-1.4584704243457554e-6,9.021584883496734,-48.541130366645035,-12.12827601465064,52.83622117694071,0.0,1.7553028542514203e-6
