issue_time_utc,latest_solar_wind_utc,latest_dst_time_utc,latest_dst_nt,anchor_dst_star_nt,target_time_utc,horizon_hours,driver_assumption,V_kms,Bz_nt,By_nt,n_cm3,Pdyn_npa,pred_dst_star_nt,pred_dst_nt,pred_dst_ci05_nt,pred_dst_ci95_nt,observation_dst_nt,residual_dst_nt,observed_in_90ci,persistence_dst_nt,burton_dst_nt,burton_full_dst_nt,obrien_dst_nt,model_step_hours,persistence_residual_dst_nt,burton_residual_dst_nt,burton_full_residual_dst_nt,obrien_residual_dst_nt,model_version,wall_clock_lead_hours,v1_pred_dst_nt,v1_pred_dst_ci05_nt,v1_pred_dst_ci95_nt,v2_pred_dst_nt,v2_pred_dst_ci05_nt,v2_pred_dst_ci95_nt,v2_correction_dst_nt,v2_interval_scale,v2_calibration_label,v2_selected_component,v2_selected_component_pred_nt,Bsouth_nt,VBsouth_mvm,Bperp_nt,clock_angle_sin2,sqrt_Pdyn_npa,dst_delta_1h_nt,dst_delta_3h_nt,Bz_delta_1h_nt,VBsouth_delta_1h_mvm,VBsouth_mean_3h_mvm,Bsouth_mean_3h_nt,baseline_spread_nt,v1_minus_persistence_nt,obrien_minus_v1_nt,burton_minus_v1_nt,v2_residual_dst_nt,v2_observed_in_90ci,driver_data_gap,n_speed_finite_trailing_hour,n_bz_finite_trailing_hour,interval_source,n_density_finite_trailing_hour,n_by_finite_trailing_hour,n_steps_driver_fallback,improved_model_version,improved_pred_dst_nt,improved_pred_dst_ci05_nt,improved_pred_dst_ci95_nt,served_pred_dst_nt,served_pred_dst_ci05_nt,served_pred_dst_ci95_nt,sub_hourly_model_version,sub_hourly_pred_dst_nt,sub_hourly_pred_dst_ci05_nt,sub_hourly_pred_dst_ci95_nt,served_residual_dst_nt,served_observed_in_90ci,dst_memory_fallback,feature_driver_basis,target_step_V_kms,target_step_Bz_nt,target_step_By_nt,target_step_n_cm3,target_step_Pdyn_npa
2026-06-06T02:17:54.992,2026-06-06T02:14:00.0,2026-06-06T01:00:00.0,-51.0,-46.4593569386341,2026-06-06T03:00:00.0,0.7013911111111111,latest_60min_persistence_for_future_step,590.2233333333332,-2.3701694915254237,2.4816949152542374,1.3915,0.8107893810915954,-45.09355661902956,-49.55637355728015,-54.515105316181234,-44.481852776172296,-43.0,6.556373557280153,false,-51.0,-51.565566123684206,-51.565566123684206,-51.093632192032906,2,8.0,8.565566123684206,8.565566123684206,8.093632192032906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-06T04:00:34.31,2026-06-06T03:57:00.0,2026-06-06T03:00:00.0,-49.0,-44.66383751003725,2026-06-06T04:00:00.0,-0.009530555555555556,observed_solar_wind_until_latest_complete_hour_then_latest_60min_persistence; model_step_hours=1,584.2931034482758,-1.821551724137931,2.879655172413793,1.494655172413793,0.8534825033123322,-43.64275511399697,-47.93566823580722,-52.31545743478508,-43.37255925892829,-60.0,-12.06433176419278,false,-49.0,-48.008487635356374,-48.008487635356374,-48.05892132486832,1,-11.0,-11.991512364643626,-11.991512364643626,-11.941078675131678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-06T07:06:43.957,2026-06-06T07:03:00.0,2026-06-06T06:00:00.0,-44.0,-39.71752141566979,2026-06-06T08:00:00.0,0.8877897222222222,observed_solar_wind_until_latest_complete_hour_then_latest_60min_persistence,579.5017543859649,1.8298245614035087,1.7538596491228073,1.5466666666666666,0.8687570230477845,-36.39448399618561,-39.380544922570834,-44.940150974513124,-33.820938870628545,-33.0,6.380544922570834,false,-44.0,-34.30432967266745,-34.30432967266745,-39.91064880022966,2,11.0,1.3043296726674498,1.3043296726674498,6.910648800229659,v2,0.8877897222222222,-40.627645911230914,-41.10871428056251,-39.77907512820625,-39.380544922570834,-44.940150974513124,-33.820938870628545,1.2471009886600766,8.362578737381632,operational_v2_ridge100.0_n100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-06T07:23:05.548,2026-06-06T07:20:00.0,2026-06-06T06:00:00.0,-44.0,-39.71752141566979,2026-06-06T08:00:00.0,0.6151255555555556,observed_solar_wind_until_latest_complete_hour_then_latest_60min_persistence,582.2421052631579,2.066666666666667,1.6324999999999996,1.5801754385964917,0.895992999833042,-36.294020776311235,-39.117983442729845,-42.227027059023165,-36.008939826436524,-33.0,6.1179834427298445,false,-44.0,-34.19907632647835,-34.19907632647835,-39.80539545404056,2,11.0,1.1990763264783482,1.1990763264783482,6.805395454040557,v2,0.6151255555555556,-40.421929345167435,-40.74481374024337,-39.73375567670037,-39.117983442729845,-42.227027059023165,-36.008939826436524,1.3039459024375868,6.150079265276699,operational_v2_ridge100.0_n116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-06T13:11:11.45,2026-06-06T13:07:00.0,2026-06-06T12:00:00.0,-36.0,-31.65121576115073,2026-06-06T14:00:00.0,0.8134861111111111,observed_solar_wind_until_latest_complete_hour_then_latest_60min_persistence,584.1186440677966,-1.5278333333333332,2.9243333333333337,1.4541666666666666,0.8298668460982244,-30.473763830498072,-34.23948750698591,-60.365623055773725,-8.113351958198095,-33.0,1.2394875069859097,true,-36.0,-35.39179976166157,-35.39179976166157,-34.52254625959462,2,3.0,2.3917997616615665,2.3917997616615665,1.5225462595946198,v2,0.8134861111111111,-34.86011961740294,-38.98823402521218,-30.49823358548912,-34.23948750698591,-60.365623055773725,-8.113351958198095,0.6206321104170262,6.154566359395864,operational_v2_ridge100.0_n116,v2,-34.23948750698591,,,,,,,,,,,,,,,,1.2394875069859097,true,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-06T13:12:00.811,2026-06-06T13:08:00.0,2026-06-06T12:00:00.0,-36.0,-31.65121576115073,2026-06-06T15:00:00.0,1.7997747222222222,observed_solar_wind_until_latest_complete_hour_then_latest_60min_persistence,583.9118644067797,-1.5871666666666664,2.927666666666667,1.4448333333333332,0.823956804075107,-30.038227881068224,-33.84086088247285,-60.219678443058285,-7.462043321887421,-34.0,-0.15913911752714682,true,-36.0,-35.75001709328393,-35.75001709328393,-34.368707999969104,3,2.0,1.7500170932839296,1.7500170932839296,0.36870799996910364,v2,1.7997747222222222,-34.448175859538416,-38.625878369735695,-30.05376588603025,-33.84086088247285,-60.219678443058285,-7.462043321887421,0.6073149770655627,6.154566359395864,operational_v2_ridge100.0_n116,v2,-33.84086088247285,,,,,,,,,,,,,,,,-0.15913911752714682,true,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-06T13:12:48.037,2026-06-06T13:09:00.0,2026-06-06T12:00:00.0,-36.0,-31.65121576115073,2026-06-06T16:00:00.0,2.786656388888889,observed_solar_wind_until_latest_complete_hour_then_latest_60min_persistence,583.7372881355932,-1.6360000000000001,2.932833333333334,1.4361666666666666,0.8185247340254986,-29.660247710272177,-33.49550341264297,-60.07146288124049,-6.919543944045447,-30.0,3.495503412642968,true,-36.0,-36.264875267724676,-36.264875267724676,-34.39997407672763,4,6.0,6.264875267724676,6.264875267724676,4.399974076727631,v2,2.786656388888889,-34.091954608474545,-38.308847075782,-29.6726709695563,-33.49550341264297,-60.07146288124049,-6.919543944045447,0.5964511958315747,6.154566359395864,operational_v2_ridge100.0_n116,v2,-33.49550341264297,,,,,,,,,,,,,,,,3.495503412642968,true,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-06T13:13:30.181,2026-06-06T13:10:00.0,2026-06-06T12:00:00.0,-36.0,-31.65121576115073,2026-06-06T19:00:00.0,5.774949722222222,observed_solar_wind_until_latest_complete_hour_then_latest_60min_persistence,583.8966101694915,-1.6771666666666667,2.9200000000000004,1.4306666666666668,0.8158352365894188,-28.60728486649547,-32.46282631176641,-59.241720678255014,-5.683931945277813,-24.0,8.462826311766413,true,-36.0,-37.3354877127379,-37.3354877127379,-34.3661206409649,7,12.0,13.335487712737901,13.335487712737901,10.366120640964901,v2,5.774949722222222,-33.04979164758472,-37.306589280923234,-28.604467050782155,-32.46282631176641,-59.241720678255014,-5.683931945277813,0.5869653358183026,6.154566359395864,operational_v2_ridge100.0_n116,v2,-32.46282631176641,,,,,,,,,,,,,,,,8.462826311766413,true,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-07T02:40:07.044,2026-06-07T02:36:00.0,2026-06-07T02:00:00.0,-28.0,-23.28230175451727,2026-06-07T03:00:00.0,0.33137666666666665,observed_solar_wind_until_latest_complete_hour_then_latest_60min_persistence,564.6728813559323,0.8128333333333333,1.9343333333333335,1.2546666666666668,0.6691358748267723,-22.565355105435824,-26.633692384016516,-48.337551943307346,-4.92983282472569,-25.0,1.6336923840165163,true,-28.0,-25.31989350585794,-25.31989350585794,-27.127691980220575,1,3.0,0.31989350585794085,0.31989350585794085,2.1276919802205754,v2,0.33137666666666665,-27.626622409311206,-29.036512702049002,-25.86365526095934,-26.633692384016516,-48.337551943307346,-4.92983282472569,0.9929300252946908,13.68095476223919,operational_v2_ridge100.0_n116,v2,-26.633692384016516,,,,,,,,,,,,,,,,1.6336923840165163,true,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-07T02:40:35.848,2026-06-07T02:38:00.0,2026-06-07T02:00:00.0,-28.0,-23.303840469859608,2026-06-07T04:00:00.0,1.3233755555555555,observed_solar_wind_until_latest_complete_hour_then_latest_60min_persistence,565.7762711864407,0.9589999999999999,1.9191666666666667,1.284166666666667,0.6875478736160295,-21.88578836570588,-25.845497023672536,-45.20195447687341,-6.489039570471665,-25.0,0.8454970236725359,true,-28.0,-22.62405972844556,-22.62405972844556,-25.913508866132364,2,3.0,-2.375940271554441,-2.375940271554441,0.9135088661323643,v2,1.3233755555555555,-26.865904786814657,-28.118658743697303,-25.288964794759377,-25.845497023672536,-45.20195447687341,-6.489039570471665,1.020407763142122,13.68095476223919,operational_v2_ridge100.0_n116,v2,-25.845497023672536,,,,,,,,,,,,,,,,0.8454970236725359,true,,,,,,,,,,,,,,,,,,,,,,,,,,,
