model_step_hours,n,selected_weight,rmse_selected_nt,rmse_w0_00_nt,rmse_w0_25_nt,rmse_w0_50_nt,rmse_w0_75_nt,rmse_w1_00_nt
1,60870,1.0,3.611681884839845,3.9735027001029035,3.80595396305733,3.686921920007673,3.6211941032881643,3.611681884839845
2,60870,1.0,5.639664193297924,5.801432766720691,5.741787707422137,5.694748375911126,5.660629038392916,5.639664193297924
3,60870,1.0,7.02006541663897,7.111071291420639,7.072118097371985,7.043887998166634,7.02651024010411,7.02006541663897
4,60870,1.0,7.944975046887467,8.028063929355978,7.988557109358207,7.9614650520491095,7.946914729025078,7.944975046887467
6,60870,0.75,9.242232066680096,9.327635581201404,9.278535519321457,9.250004183577472,9.242232066680096,9.255271466457081
7,60870,0.75,9.773282169270214,9.886671647694548,9.82030585388668,9.782398977798353,9.773282169270214,9.793035834812141
