feature_name,feature_mean,feature_sd
bz0,-0.04817979026768466,2.7613226750233055
bz1,-0.04816254254438416,2.761407611342251
bz2,-0.048394811884831204,2.7615342567893495
bz_mean6,-0.048611558274307784,2.1800980045582268
bz_sd6,1.3570253793570861,1.0151383618006353
by0,-0.02435838469322047,3.4755334944638907
bperp0,3.66136641253191,2.510257455054997
bperp_mean6,3.661617295522286,2.260472529534915
v0,417.6417187931193,92.67892511494576
dv6,-0.008152423880047834,31.74993368505495
logn0,1.587678801400822,0.6653173925354682
logn_mean6,1.58768412862379,0.6377176649536879
pdyn0,1.6438330297025368,1.218764268377103
vbs0,0.41838778976175145,0.7518045124196486
vbs_mean3,0.4184046377211542,0.6557362624331668
south_run,2.295821451568393,3.4816141314302116
dst0,-11.537887498850152,16.580800979781813
ddst1,0.0012533345598381013,3.79228716808054
