feature_name,feature_mean,feature_scale,standardised_coefficient,intercept_nt,ridge_lambda,correction_cap_nt
innovation_1h,-0.2198692248987321,3.6026843071060024,-0.08896049844419429,-0.06539760005521705,1000.0,40.0
innovation_2h,-0.220399730751616,3.6027946088088036,-0.49134121976355044,-0.06539760005521705,1000.0,40.0
innovation_3h,-0.2210169198422741,3.6039663922515692,-0.16333799993320797,-0.06539760005521705,1000.0,40.0
innovation_4h,-0.22099923653609746,3.6039522843228853,-0.5064428992682112,-0.06539760005521705,1000.0,40.0
innovation_5h,-0.2203729906565966,3.6041750985683096,-0.3867523622458399,-0.06539760005521705,1000.0,40.0
innovation_6h,-0.22107567076305348,3.6043336559126877,-0.36320893290729517,-0.06539760005521705,1000.0,40.0
dst0,-11.822531778963315,16.661027912644546,0.44739620101965916,-0.06539760005521705,1000.0,40.0
ddst1,0.0012678653757491932,3.832750383820234,-0.5678885199643321,-0.06539760005521705,1000.0,40.0
vbs0,0.42483222353948497,0.7458987170873252,-0.2938876926132868,-0.06539760005521705,1000.0,40.0
