fold_year,variant,model_step_hours,regime,depth_bin,n_rows,n_experts,expert_set,w_served_v2_1,w_frozen_v2_1,w_t1r_analog,w_persistence,w_burton,w_burton_full,w_obrien,w_direct_gbm,w_climatology,w_static_v2_2,weight_sum,sindy_family_mass,objective_mse,support,kkt_stationarity,kkt_dual_min,floor_active
2026,L1e,2,quiet,shallow,94910,10,served_v2_1|frozen_v2_1|t1r_analog|persistence|burton|burton_full|obrien|direct_gbm|climatology|static_v2_2,0.18945754291637756,0.0,0.43703593628731036,0.0,0.0,0.0,0.0,0.359302231464668,0.014204289331644094,0.0,1.0,0.6264934792036879,27.800838469067756,served_v2_1|t1r_analog|direct_gbm|climatology,4.205604172310715e-17,0.018495275780947867,false
2026,L1e,2,active_deepening,pooled,11168,10,served_v2_1|frozen_v2_1|t1r_analog|persistence|burton|burton_full|obrien|direct_gbm|climatology|static_v2_2,0.2251572114752747,0.0,0.633790590545487,0.0,0.0,0.0,0.0,0.14105219797923824,0.0,0.0,1.0,0.8589478020207617,93.29231603474426,served_v2_1|t1r_analog|direct_gbm,3.9018882760139445e-17,0.014529597680768315,false
2026,L1e,2,active_deepening,shallow,5277,10,served_v2_1|frozen_v2_1|t1r_analog|persistence|burton|burton_full|obrien|direct_gbm|climatology|static_v2_2,0.16852993626663712,0.0,0.831470063733363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,71.34278839225757,served_v2_1|t1r_analog,3.233106594722813e-17,0.032577364812941365,false
2026,L1e,2,active_deepening,moderate,5266,10,served_v2_1|frozen_v2_1|t1r_analog|persistence|burton|burton_full|obrien|direct_gbm|climatology|static_v2_2,0.11976848916427353,0.0,0.573934449890264,0.0,0.0,0.005755892328992411,0.0,0.2923050478692418,0.008236120747228287,0.0,0.9999999999999999,0.6937029390545375,76.83259451750205,served_v2_1|t1r_analog|burton_full|direct_gbm|climatology,2.179355357989588e-16,0.029151968865234947,false
2026,L1e,2,active_deepening,deep,625,10,served_v2_1|frozen_v2_1|t1r_analog|persistence|burton|burton_full|obrien|direct_gbm|climatology|static_v2_2,0.37939995520229713,0.0,0.4362547049156359,0.07355247401842373,0.0,0.0,0.013925302235749198,0.06584010939434791,0.031027454233546085,0.0,1.0,0.8156546601179331,408.9139273982576,served_v2_1|t1r_analog|persistence|obrien|direct_gbm|climatology,1.5535206696755053e-17,0.002541846322668287,false
2026,L1e,2,recovery,pooled,6544,10,served_v2_1|frozen_v2_1|t1r_analog|persistence|burton|burton_full|obrien|direct_gbm|climatology|static_v2_2,0.24330292510100907,0.0,0.1482802775884415,0.0,0.0,0.0,0.04722390397043048,0.2816023828887149,0.07117371314085462,0.20841679731054943,1.0,0.6,68.55406395501961,served_v2_1|t1r_analog|obrien|direct_gbm|climatology|static_v2_2,2.323050786699274e-17,0.03387636681520052,true
2026,L1e,2,recovery,moderate,5868,10,served_v2_1|frozen_v2_1|t1r_analog|persistence|burton|burton_full|obrien|direct_gbm|climatology|static_v2_2,0.3796594964576024,0.0,0.22034050354239765,0.0,0.03076158173048757,0.02614856350860632,0.0,0.3408297649780993,0.0022600897828068288,0.0,1.0000000000000002,0.6000000000000001,52.962744411078475,served_v2_1|t1r_analog|burton|burton_full|direct_gbm|climatology,2.0902737327502376e-16,0.007668518313376053,true
2026,L1e,2,recovery,deep,676,10,served_v2_1|frozen_v2_1|t1r_analog|persistence|burton|burton_full|obrien|direct_gbm|climatology|static_v2_2,0.10660034119655276,0.0,0.03656127512526222,0.0,0.0,0.0,0.013622982142844058,0.2554845146820098,0.13089250317514614,0.456838383678185,1.0,0.6,200.04120125121233,served_v2_1|t1r_analog|obrien|direct_gbm|climatology|static_v2_2,2.6398287326848783e-17,0.014882011781636869,true
2026,L1e,3,pooled,pooled,112621,10,served_v2_1|frozen_v2_1|t1r_analog|persistence|burton|burton_full|obrien|direct_gbm|climatology|static_v2_2,0.2754380216935159,0.0,0.37826361306106426,0.0,0.0049026430724600535,0.0,0.010561796353014272,0.30924074668537294,0.021593179134572746,0.0,1.0,0.6537016347545801,57.13409734756658,served_v2_1|t1r_analog|burton|obrien|direct_gbm|climatology,6.381891684196617e-17,0.009153937714190949,false
2026,L1e,3,quiet,pooled,94909,10,served_v2_1|frozen_v2_1|t1r_analog|persistence|burton|burton_full|obrien|direct_gbm|climatology|static_v2_2,0.3325184642994925,0.0,0.29040188317959365,0.0,0.01786390764158271,0.0010496893289779364,0.0,0.3581660555503532,0.0,0.0,1.0,0.6229203474790861,44.34745322213212,served_v2_1|t1r_analog|burton|burton_full|direct_gbm,2.0065091483988554e-16,0.015424622955606775,false
2026,L1e,3,quiet,shallow,94909,10,served_v2_1|frozen_v2_1|t1r_analog|persistence|burton|burton_full|obrien|direct_gbm|climatology|static_v2_2,0.3325184642994925,0.0,0.29040188317959365,0.0,0.01786390764158271,0.0010496893289779364,0.0,0.3581660555503532,0.0,0.0,1.0,0.6229203474790861,44.34745322213212,served_v2_1|t1r_analog|burton|burton_full|direct_gbm,2.0065091483988554e-16,0.015424622955606775,false
2026,L1e,3,active_deepening,pooled,11168,10,served_v2_1|frozen_v2_1|t1r_analog|persistence|burton|burton_full|obrien|direct_gbm|climatology|static_v2_2,0.27022712501141916,0.0,0.5612841332560651,0.0,0.0,0.0,0.0025272514939811267,0.1453252536836214,0.020636236554913364,0.0,1.0,0.8315112582674842,136.986836209219,served_v2_1|t1r_analog|obrien|direct_gbm|climatology,9.101565137349444e-17,0.018269732604795582,false
2026,L1e,3,active_deepening,shallow,5277,10,served_v2_1|frozen_v2_1|t1r_analog|persistence|burton|burton_full|obrien|direct_gbm|climatology|static_v2_2,0.3572284299153514,0.0,0.5609958297685784,0.0,0.0,0.0,0.0,0.05879817103110999,0.022977569284960198,0.0,1.0,0.9182242596839298,104.75998134303944,served_v2_1|t1r_analog|direct_gbm|climatology,3.328879876545993e-17,0.04213956230612812,false
2026,L1e,3,active_deepening,moderate,5266,10,served_v2_1|frozen_v2_1|t1r_analog|persistence|burton|burton_full|obrien|direct_gbm|climatology|static_v2_2,0.1863846372849296,0.0,0.5598348517317489,0.0,0.0,0.020597967621230028,0.0,0.21229570148403662,0.020886841878054892,0.0,1.0,0.7462194890166784,116.13993003389425,served_v2_1|t1r_analog|burton_full|direct_gbm|climatology,7.712543030666443e-17,0.02064103642287565,false
2026,L1e,3,active_deepening,deep,625,10,served_v2_1|frozen_v2_1|t1r_analog|persistence|burton|burton_full|obrien|direct_gbm|climatology|static_v2_2,0.3523380232883608,0.003995157618761822,0.46590019069022603,0.11528706943123541,0.0,0.0,0.015269385507949257,0.0,0.047210173463466586,0.0,0.9999999999999999,0.8222333715973487,577.0445148525503,served_v2_1|frozen_v2_1|t1r_analog|persistence|obrien|climatology,6.870224608530686e-17,1.4503807506898117e-16,false
2026,L1e,3,recovery,pooled,6544,10,served_v2_1|frozen_v2_1|t1r_analog|persistence|burton|burton_full|obrien|direct_gbm|climatology|static_v2_2,0.3110902465060084,0.0,0.0,0.0,0.025954900611134295,0.0,0.05405584190013261,0.28523715779954684,0.03475209968918633,0.28890975349399156,1.0,0.6,104.03303634833321,served_v2_1|burton|obrien|direct_gbm|climatology|static_v2_2,2.7836712408756034e-17,0.0019450812287670602,true
2026,L1e,3,recovery,moderate,5868,10,served_v2_1|frozen_v2_1|t1r_analog|persistence|burton|burton_full|obrien|direct_gbm|climatology|static_v2_2,0.3925701916260701,0.0,0.20742980837392988,0.0,0.0635089991144237,0.0,0.0,0.3364910008855763,0.0,0.0,1.0,0.6,81.82017358752252,served_v2_1|t1r_analog|burton|direct_gbm,1.364314251050581e-16,0.0017796972707327554,true
2026,L1e,3,recovery,deep,676,10,served_v2_1|frozen_v2_1|t1r_analog|persistence|burton|burton_full|obrien|direct_gbm|climatology|static_v2_2,0.0,0.0,0.0,0.0,0.0,0.0,0.020777993899926715,0.24922417024089477,0.1299978358591785,0.6,1.0,0.6,287.16792526346836,obrien|direct_gbm|climatology|static_v2_2,1.497352718065718e-17,0.0015659854278698702,true
2026,L1e,4,pooled,pooled,112620,10,served_v2_1|frozen_v2_1|t1r_analog|persistence|burton|burton_full|obrien|direct_gbm|climatology|static_v2_2,0.22640429509302276,0.0,0.3735957049069772,0.0,0.0013190533627607214,0.0,0.028278603090475876,0.3533470652260041,0.01705527832075929,0.0,1.0,0.6,74.34518376861271,served_v2_1|t1r_analog|burton|obrien|direct_gbm|climatology,7.139470798240515e-17,0.008942612967774837,true
2026,L1e,4,quiet,pooled,94908,10,served_v2_1|frozen_v2_1|t1r_analog|persistence|burton|burton_full|obrien|direct_gbm|climatology|static_v2_2,0.2524050231209033,0.0,0.34759497687909674,0.0,0.018220861578127794,0.0,0.0,0.3817791384218722,0.0,0.0,1.0,0.6000000000000001,58.82925484561035,served_v2_1|t1r_analog|burton|direct_gbm,4.004079154590519e-17,0.005362352233991138,true
2026,L1e,4,quiet,shallow,94908,10,served_v2_1|frozen_v2_1|t1r_analog|persistence|burton|burton_full|obrien|direct_gbm|climatology|static_v2_2,0.2524050231209033,0.0,0.34759497687909674,0.0,0.018220861578127794,0.0,0.0,0.3817791384218722,0.0,0.0,1.0,0.6000000000000001,58.82925484561035,served_v2_1|t1r_analog|burton|direct_gbm,4.004079154590519e-17,0.005362352233991138,true
2026,L1e,4,active_deepening,pooled,11168,10,served_v2_1|frozen_v2_1|t1r_analog|persistence|burton|burton_full|obrien|direct_gbm|climatology|static_v2_2,0.24940340852404005,0.0,0.48791385962500355,0.0,0.0,0.0,0.039505542668950844,0.18615253808914314,0.03702465109286252,0.0,1.0,0.7373172681490436,172.3912217420115,served_v2_1|t1r_analog|obrien|direct_gbm|climatology,4.3817926286107156e-17,0.007362883412206177,false
2026,L1e,4,active_deepening,shallow,5277,10,served_v2_1|frozen_v2_1|t1r_analog|persistence|burton|burton_full|obrien|direct_gbm|climatology|static_v2_2,0.29053455912910353,0.0,0.49278787528688484,0.0,0.0,0.003412012227881646,0.0,0.1730392335805431,0.040226319775586855,0.0,1.0,0.7833224344159884,131.45730639752216,served_v2_1|t1r_analog|burton_full|direct_gbm|climatology,1.0570620242109733e-16,0.008293571156859813,false
2026,L1e,4,active_deepening,moderate,5266,10,served_v2_1|frozen_v2_1|t1r_analog|persistence|burton|burton_full|obrien|direct_gbm|climatology|static_v2_2,0.14828203738610876,0.0,0.5602702479179781,0.0,0.0,0.035260284750794686,0.0,0.23383243849135188,0.022354991453766626,0.0,1.0,0.7085522853040869,147.39493284573615,served_v2_1|t1r_analog|burton_full|direct_gbm|climatology,6.030405491015892e-17,0.006387230928247288,false
2026,L1e,4,active_deepening,deep,625,10,served_v2_1|frozen_v2_1|t1r_analog|persistence|burton|burton_full|obrien|direct_gbm|climatology|static_v2_2,0.3204974709538051,0.2611902684675839,0.2335980700583537,0.0,0.0,0.0,0.0892012246134658,0.018702955952958646,0.07681000995383278,0.0,1.0,0.8152858094797428,709.117357629392,served_v2_1|frozen_v2_1|t1r_analog|obrien|direct_gbm|climatology,3.682628005637136e-17,1.7271880274442725e-5,false
2026,L1e,4,recovery,pooled,6544,10,served_v2_1|frozen_v2_1|t1r_analog|persistence|burton|burton_full|obrien|direct_gbm|climatology|static_v2_2,0.2853076648440327,0.0,0.10582417269191048,0.0,0.020381402527783546,0.0,0.08101443641011244,0.27283268440087355,0.02577147666123049,0.20886816246405676,0.9999999999999998,0.5999999999999999,129.54315831639147,served_v2_1|t1r_analog|burton|obrien|direct_gbm|climatology|static_v2_2,1.0986943360984894e-16,0.0037766145301101075,true
2026,L1e,4,recovery,moderate,5868,10,served_v2_1|frozen_v2_1|t1r_analog|persistence|burton|burton_full|obrien|direct_gbm|climatology|static_v2_2,0.26283348359548614,0.0,0.21354131744039603,0.0,0.046972065445698014,0.0,0.0,0.353027934554302,0.0,0.12362519896411782,0.9999999999999999,0.6,100.10462166810898,served_v2_1|t1r_analog|burton|direct_gbm|static_v2_2,1.3604348758970862e-16,0.004426225297667131,true
