feature_name,feature_mean,feature_sd
bz0,-0.0692289947013661,2.9479494313405503
bz1,-0.06923764553220633,2.948080864084799
bz2,-0.06953754100133365,2.9482129916672064
bz_mean6,-0.06972882048324502,2.3318702898875108
bz_sd6,1.4277050934105793,1.1019548495467983
by0,-0.07941102260029555,3.6976354442617443
bperp0,3.876203088375358,2.710895400834657
bperp_mean6,3.876056933390945,2.4549269509336766
v0,419.9149983779692,93.72801596880787
dv6,-0.0006992754929171322,32.6719636144808
logn0,1.5926875364958368,0.6760690517898196
logn_mean6,1.5926890341092343,0.6481943255257818
pdyn0,1.6810873283473287,1.3192478056009234
vbs0,0.4515814403633349,0.840266220388756
vbs_mean3,0.45161983323120547,0.7365904340717429
south_run,2.3655336481274554,3.5412606045104758
dst0,-11.00494539163032,18.05645838235465
ddst1,0.0008290379555203114,4.070748617833238
