feature_set,ridge,selected_component,validation_n,validation_rmse_nt,validation_mae_nt,validation_bias_nt,validation_preupgrade_rmse_nt,validation_persistence_rmse_nt,validation_obrien_rmse_nt,validation_coverage,beats_preupgrade,beats_persistence,beats_obrien,coverage_ok,gate_pass,error,selected_by_validation,deployed,final_component,acceptance_gate_pass,validation_trusted,conformal_holdout_coverage,conformal_gate_pass,deploy_block_reason,holdout_n,holdout_rmse_nt,holdout_mae_nt,holdout_coverage
memory_expert_lead,0.0,v2,135822,6.111114507978339,4.221749479030489,-0.016999328370261513,7.0684659849143925,6.888653143832325,7.80890895633906,0.9358424997423098,true,true,true,true,true,,false,false,v2,true,true,0.8606433657053241,true,,135817,7.242002191215083,4.938158880204533,0.9043050575406614
memory_expert_lead,1.0,v2,135822,6.111113671644441,4.221747721440341,-0.016988838071642497,7.0684659849143925,6.888653143832325,7.80890895633906,0.9358498623198009,true,true,true,true,true,,false,false,v2,true,true,0.8606433657053241,true,,135817,7.242002191215083,4.938158880204533,0.9043050575406614
memory_expert_lead,10.0,v2,135822,6.1111063933617675,4.221732149000013,-0.01689432678936865,7.0684659849143925,6.888653143832325,7.80890895633906,0.9358498623198009,true,true,true,true,true,,false,false,v2,true,true,0.8606433657053241,true,,135817,7.242002191215083,4.938158880204533,0.9043050575406614
memory_expert_lead,100.0,v2,135822,6.111056538877845,4.221596911500486,-0.015940901505649377,7.0684659849143925,6.888653143832325,7.80890895633906,0.9358498623198009,true,true,true,true,true,,true,true,v2,true,true,0.8606433657053241,true,,135817,7.242002191215083,4.938158880204533,0.9043050575406614
memory_expert_lead,1000.0,v2,135822,6.111870655921381,4.221544702305423,-0.006321562277349577,7.0684659849143925,6.888653143832325,7.80890895633906,0.9358277745873276,true,true,true,true,true,,false,false,v2,true,true,0.8606433657053241,true,,135817,7.242002191215083,4.938158880204533,0.9043050575406614
memory_expert,0.0,v2,135822,6.195337752432218,4.278603256919077,0.02656867808935039,7.0684659849143925,6.888653143832325,7.80890895633906,0.9357173359249606,true,true,true,true,true,,false,false,v2,true,true,0.8606433657053241,true,,135817,7.242002191215083,4.938158880204533,0.9043050575406614
memory_expert,1.0,v2,135822,6.1953378420951895,4.278603261823554,0.026574386579156464,7.0684659849143925,6.888653143832325,7.80890895633906,0.9357173359249606,true,true,true,true,true,,false,false,v2,true,true,0.8606433657053241,true,,135817,7.242002191215083,4.938158880204533,0.9043050575406614
memory_expert,10.0,v2,135822,6.195338824716709,4.27860343511298,0.026626074324896127,7.0684659849143925,6.888653143832325,7.80890895633906,0.9356952481924872,true,true,true,true,true,,false,false,v2,true,true,0.8606433657053241,true,,135817,7.242002191215083,4.938158880204533,0.9043050575406614
memory_expert,100.0,v2,135822,6.195364297016307,4.27861667809038,0.027171143532175715,7.0684659849143925,6.888653143832325,7.80890895633906,0.9355995346851026,true,true,true,true,true,,false,false,v2,true,true,0.8606433657053241,true,,135817,7.242002191215083,4.938158880204533,0.9043050575406614
memory_expert,1000.0,v2,135822,6.196333548236997,4.279286633275876,0.03397987008856353,7.0684659849143925,6.888653143832325,7.80890895633906,0.935621622417576,true,true,true,true,true,,false,false,v2,true,true,0.8606433657053241,true,,135817,7.242002191215083,4.938158880204533,0.9043050575406614
memory,0.0,v2,135822,6.3190778087808095,4.36889111761156,0.04434165945520375,7.0684659849143925,6.888653143832325,7.80890895633906,0.9368438102811032,true,true,true,true,true,,false,false,v2,true,true,0.8606433657053241,true,,135817,7.242002191215083,4.938158880204533,0.9043050575406614
memory,1.0,v2,135822,6.31907592356677,4.368890391046476,0.04434318943100609,7.0684659849143925,6.888653143832325,7.80890895633906,0.9368438102811032,true,true,true,true,true,,false,false,v2,true,true,0.8606433657053241,true,,135817,7.242002191215083,4.938158880204533,0.9043050575406614
memory,10.0,v2,135822,6.319059263892157,4.368884150431861,0.04435730787723388,7.0684659849143925,6.888653143832325,7.80890895633906,0.9368364477036121,true,true,true,true,true,,false,false,v2,true,true,0.8606433657053241,true,,135817,7.242002191215083,4.938158880204533,0.9043050575406614
memory,100.0,v2,135822,6.318920132797337,4.3688379641576995,0.04453038486620731,7.0684659849143925,6.888653143832325,7.80890895633906,0.9369100734785234,true,true,true,true,true,,false,false,v2,true,true,0.8606433657053241,true,,135817,7.242002191215083,4.938158880204533,0.9043050575406614
memory,1000.0,v2,135822,6.318810331403468,4.36903094920804,0.04796111876476898,7.0684659849143925,6.888653143832325,7.80890895633906,0.9371972140006773,true,true,true,true,true,,false,false,v2,true,true,0.8606433657053241,true,,135817,7.242002191215083,4.938158880204533,0.9043050575406614
full,0.0,v2,135822,6.372192394626243,4.414407964441789,0.09098055145720464,7.0684659849143925,6.888653143832325,7.80890895633906,0.9369542489434701,true,true,true,true,true,,false,false,v2,true,true,0.8606433657053241,true,,135817,7.242002191215083,4.938158880204533,0.9043050575406614
full,1.0,v2,135822,6.372193054640346,4.414408567065367,0.09098998957459495,7.0684659849143925,6.888653143832325,7.80890895633906,0.9369542489434701,true,true,true,true,true,,false,false,v2,true,true,0.8606433657053241,true,,135817,7.242002191215083,4.938158880204533,0.9043050575406614
full,10.0,v2,135822,6.372198997613369,4.414413985893456,0.09107486644674552,7.0684659849143925,6.888653143832325,7.80890895633906,0.9369542489434701,true,true,true,true,true,,false,false,v2,true,true,0.8606433657053241,true,,135817,7.242002191215083,4.938158880204533,0.9043050575406614
full,100.0,v2,135822,6.3722586990643775,4.414467926458613,0.09191714358145862,7.0684659849143925,6.888653143832325,7.80890895633906,0.9369616115209612,true,true,true,true,true,,false,false,v2,true,true,0.8606433657053241,true,,135817,7.242002191215083,4.938158880204533,0.9043050575406614
full,1000.0,v2,135822,6.37287468586285,4.4149824923542695,0.09974515515487255,7.0684659849143925,6.888653143832325,7.80890895633906,0.9368953483235412,true,true,true,true,true,,false,false,v2,true,true,0.8606433657053241,true,,135817,7.242002191215083,4.938158880204533,0.9043050575406614
base,0.0,v2,135822,6.421879458583005,4.450308347937995,-0.06371403473106209,7.0684659849143925,6.888653143832325,7.80890895633906,0.9380807232996127,true,true,true,true,true,,false,false,v2,true,true,0.8606433657053241,true,,135817,7.242002191215083,4.938158880204533,0.9043050575406614
