period,delay_minutes,n,point_rmse,log_rmse,baseline_rmse,baseline_log_rmse,coverage,native_pass,log_pass,coverage_pass
2018,0,7141,52.30038239968154,0.5369971993939514,59.69428321181387,0.5844057182834712,0.8942725108528218,true,true,true
2018,5,7136,55.57173311899052,0.5788295962029073,63.235996275913436,0.6263702233298817,0.8918161434977578,true,true,true
2018,10,7131,57.626149345988196,0.6122602053426893,65.98317800161303,0.6626796196188115,0.8910391249474127,true,true,true
2021,0,7141,97.74839002086293,0.5545832028356537,107.33388642498159,0.5944567716627799,0.8955328385380199,true,true,true
2021,5,7136,101.1037720939235,0.5905489984824119,112.96800764225594,0.6306978917596372,0.8947589686098655,true,true,true
2021,10,7131,103.04623654442105,0.61490652702882,116.69267822026092,0.6565582636863789,0.8944047118216238,true,true,true
2024,0,3774,112.39119977340864,0.6507142316439983,123.30767080061825,0.718885736628751,0.8905670376258612,true,true,true
2024,5,3764,116.4068754430478,0.6995252504959736,126.80456011629983,0.7637749307065254,0.8825717321997875,true,true,true
2024,10,3754,117.9231373767751,0.733358824961584,127.21959917151823,0.7955509541178087,0.8795950985615344,true,true,false
2026,0,19957,14.383550824222551,0.4861553075188878,16.750988070998655,0.544060527571574,0.8973793656361176,true,true,true
2026,5,19942,15.257403269810027,0.5278369480518176,17.781899347944222,0.5851086837281965,0.8971015946244107,true,true,true
2026,10,19927,15.89242425189858,0.5608583618513979,18.617501891424304,0.6193383442517335,0.8961208410699052,true,true,true
