feature,feature_mean,feature_scale,coefficient,interval_scale,label,selected_component,guard_margin_nt,selector_components,selector_rmse_nt,selector_mae_nt,selector_half_width_nt
intercept,0.0,1.0,0.4375967531644689,13.68095476223919,operational_v2_ridge100.0_n116,v2,0.5,v2;persistence;burton;burton_full;obrien,3.4453200190326356;3.870756853728952;3.6639430584813635;3.670743140020913;3.5628032065424575,2.6923550432597247;3.0344827586206895;2.7282399600622824;2.7747817031461723;2.7670765263479966,5.6343672735109465;6.0;5.480124405279581;5.480124405279581;5.564293754609576
latest_dst_nt,-12.53448275862069,13.073325670156045,-0.24532454013634103,13.68095476223919,operational_v2_ridge100.0_n116,v2,0.5,v2;persistence;burton;burton_full;obrien,3.4453200190326356;3.870756853728952;3.6639430584813635;3.670743140020913;3.5628032065424575,2.6923550432597247;3.0344827586206895;2.7282399600622824;2.7747817031461723;2.7670765263479966,5.6343672735109465;6.0;5.480124405279581;5.480124405279581;5.564293754609576
V_kms,424.0044779054397,39.04288861794521,0.039801638984782964,13.68095476223919,operational_v2_ridge100.0_n116,v2,0.5,v2;persistence;burton;burton_full;obrien,3.4453200190326356;3.870756853728952;3.6639430584813635;3.670743140020913;3.5628032065424575,2.6923550432597247;3.0344827586206895;2.7282399600622824;2.7747817031461723;2.7670765263479966,5.6343672735109465;6.0;5.480124405279581;5.480124405279581;5.564293754609576
Bz_nt,-0.06334073682516442,2.598315507064738,0.48014229695712485,13.68095476223919,operational_v2_ridge100.0_n116,v2,0.5,v2;persistence;burton;burton_full;obrien,3.4453200190326356;3.870756853728952;3.6639430584813635;3.670743140020913;3.5628032065424575,2.6923550432597247;3.0344827586206895;2.7282399600622824;2.7747817031461723;2.7670765263479966,5.6343672735109465;6.0;5.480124405279581;5.480124405279581;5.564293754609576
By_nt,-2.6405318606817256,3.010617075676414,-0.06310461336919425,13.68095476223919,operational_v2_ridge100.0_n116,v2,0.5,v2;persistence;burton;burton_full;obrien,3.4453200190326356;3.870756853728952;3.6639430584813635;3.670743140020913;3.5628032065424575,2.6923550432597247;3.0344827586206895;2.7282399600622824;2.7747817031461723;2.7670765263479966,5.6343672735109465;6.0;5.480124405279581;5.480124405279581;5.564293754609576
n_cm3,2.874235609938935,1.4328837303766697,-0.04973688861518513,13.68095476223919,operational_v2_ridge100.0_n116,v2,0.5,v2;persistence;burton;burton_full;obrien,3.4453200190326356;3.870756853728952;3.6639430584813635;3.670743140020913;3.5628032065424575,2.6923550432597247;3.0344827586206895;2.7282399600622824;2.7747817031461723;2.7670765263479966,5.6343672735109465;6.0;5.480124405279581;5.480124405279581;5.564293754609576
Pdyn_npa,0.8636366254617431,0.42713791522540623,0.001133557130643939,13.68095476223919,operational_v2_ridge100.0_n116,v2,0.5,v2;persistence;burton;burton_full;obrien,3.4453200190326356;3.870756853728952;3.6639430584813635;3.670743140020913;3.5628032065424575,2.6923550432597247;3.0344827586206895;2.7282399600622824;2.7747817031461723;2.7670765263479966,5.6343672735109465;6.0;5.480124405279581;5.480124405279581;5.564293754609576
